Method,Acc,Bal Acc,ECE,Leakage
Baseline Soft (mean +- std, n=3),0.7842 +- 0.0119,0.6621 +- 0.0091,0.1005 +- 0.0051,0.9791 +- 0.0010
Run A / GRL (mean +- std, n=3),0.8099 +- 0.0074,0.6997 +- 0.0104,0.0948 +- 0.0053,0.7099 +- 0.0108
Run B (orth=5.0) (mean +- std, n=3),0.8112 +- 0.0006,0.6920 +- 0.0108,0.1003 +- 0.0109,0.7241 +- 0.0127
Run B (orth=1.0) (mean +- std, n=3),0.8090 +- 0.0082,0.7006 +- 0.0026,0.0917 +- 0.0022,0.7131 +- 0.0133
